CellTypeID	CellType	CellGroup	Tool
Adipocytes_xCell	Adipocyte	Stromal cells	xCell
Angiogenesis...negative.cancerSEA_ssGSEA	Angiogenesis	Pathway	ssGSEA
Angiogenesis...positive.cancerSEA_ssGSEA	Angiogenesis	Pathway	ssGSEA
Angiogenesis.HALLMARK_ssGSEA	Angiogenesis	Pathway	ssGSEA
Angiogenesis.Sanders_ssGSEA	Angiogenesis	Pathway	ssGSEA
Antigen.presenting.machinery.Sanders_ssGSEA	APM	Pathway	ssGSEA
Astrocytes_xCell	Astrocyte	Stromal cells	xCell
AXL.pathway.Pallocca_ssGSEA	AXL.Pathway	Pathway	ssGSEA
B.cells.memory_Cibersort	B.cell.memory	Leukocyte	Cibersort
B.cells.memory_CIBERSORTx	B.cell.memory	Leukocyte	CIBERSORTx
B.cells.memory_SGL	B.cell.memory	Leukocyte	SGL
Class.switched.memory.B.cells_xCell	B.cell.class.switched	Leukocyte	xCell
Memory.B.cell.Adaptive_ssGSEA	B.cell.memory	Leukocyte	ssGSEA
Memory.B.cells_xCell	B.cell.memory	Leukocyte	xCell
Immature..B.cell.Adaptive_ssGSEA	B.cell.immature	Leukocyte	ssGSEA
B.cells.naive_Cibersort	B.cell.naive	Leukocyte	Cibersort
B.cells.naive_CIBERSORTx	B.cell.naive	Leukocyte	CIBERSORTx
B.cells.naive_SGL	B.cell.naive	Leukocyte	SGL
naive.B.cells_xCell	B.cell.naive	Leukocyte	xCell
pro.B.cells_xCell	B.cell.pro	Leukocyte	xCell
Activated.B.cell.Adaptive_ssGSEA	B.cells	Leukocyte	ssGSEA
B.cell_quantiseq	B.cells	Leukocyte	quantiseq
B.cell_TIMER	B.cells	Leukocyte	TIMER
B.cells_xCell	B.cells	Leukocyte	xCell
B.cells.Danaher_ssGSEA	B.cells	Leukocyte	ssGSEA
B.cells.Davoli_ssGSEA	B.cells	Leukocyte	ssGSEA
B.cells.Sanders_ssGSEA	B.cells	Leukocyte	ssGSEA
B.lineage_MCP	B.cells	Leukocyte	MCP
Bcells_EPIC-mRNA	B.cells	Leukocyte	EPIC-mRNA
Basophils_xCell	Basophils	Leukocyte	xCell
CD45.Danaher_ssGSEA	CD45.pos.cell	immune cell	ssGSEA
Checkpoint.Pallocca_ssGSEA	Checkpoint	Pathway	ssGSEA
Chondrocytes_xCell	Chondrocytes	Stromal cells	xCell
Chronic.Inflammation_ssGSEA	Chronic.Inflammation	Pathway	ssGSEA
CLP_xCell	CLP	Progenitor cells	xCell
CMP_xCell	CMP	Progenitor cells	xCell
Anti.inflammatory.Cytokines_ssGSEA	Cytokine.anti	Pathway	ssGSEA
Pro.inflammatory.Cytokines_ssGSEA	Cytokine.pro	Pathway	ssGSEA
Cytotoxic.cells.Danaher_ssGSEA	Cytotoxic.lymphocytes	Leukocyte	ssGSEA
Cytotoxic.cells.Sanders_ssGSEA	Cytotoxic.lymphocytes	Leukocyte	ssGSEA
Cytotoxic.lymphocytes_MCP	Cytotoxic.lymphocytes	Leukocyte	MCP
cDC_xCell	Dendritic.cell	Leukocyte	xCell
DC_xCell	Dendritic.cell	Leukocyte	xCell
DC.Danaher_ssGSEA	Dendritic.cell	Leukocyte	ssGSEA
DC.Sanders_ssGSEA	Dendritic.cell	Leukocyte	ssGSEA
Dendritic.Davoli_ssGSEA	Dendritic.cell	Leukocyte	ssGSEA
Activated.dendritic.cell.Innate_ssGSEA	Dendritic.cell.activated	Leukocyte	ssGSEA
aDC_xCell	Dendritic.cell.activated	Leukocyte	xCell
aDC.Sanders_ssGSEA	Dendritic.cell.activated	Leukocyte	ssGSEA
Dendritic.cells.activated_Cibersort	Dendritic.cell.activated	Leukocyte	Cibersort
Dendritic.cells.activated_CIBERSORTx	Dendritic.cell.activated	Leukocyte	CIBERSORTx
Dendritic.cells.activated_SGL	Dendritic.cell.activated	Leukocyte	SGL
Immature.dendritic.cell.Innate_ssGSEA	Dendritic.cell.immature	Leukocyte	ssGSEA
Dendritic.cells.resting_Cibersort	Dendritic.cell.resting	Leukocyte	Cibersort
Dendritic.cells.resting_CIBERSORTx	Dendritic.cell.resting	Leukocyte	CIBERSORTx
Dendritic.cells.resting_SGL	Dendritic.cell.resting	Leukocyte	SGL
iDC_xCell	Dendritic.cell.inactive	Leukocyte	xCell
iDC.Sanders_ssGSEA	Dendritic.cell.inactive	Leukocyte	ssGSEA
Myeloid.dendritic.cell_quantiseq	Dendritic.cell.myeloid	Leukocyte	quantiseq
Myeloid.dendritic.cell_TIMER	Dendritic.cell.myeloid	Leukocyte	TIMER
Myeloid.dendritic.cells_MCP	Dendritic.cell.myeloid	Leukocyte	MCP
pDC_xCell	Dendritic.cell.plasmacytoid	Leukocyte	xCell
Plasmacytoid.dendritic.cell.Innate_ssGSEA	Dendritic.cell.plasmacytoid	Leukocyte	ssGSEA
pDC.Sanders_ssGSEA	Dendritic.cell.plasmacytoid	Leukocyte	ssGSEA
EMT...negative.cancerSEA_ssGSEA	EMT.neg	Pathway	ssGSEA
EMT...positive.cancerSEA_ssGSEA	EMT.pos	Pathway	ssGSEA
EMT.Canonical.Marker_ssGSEA	EMT	Pathway	ssGSEA
EMT.HALLMARK_ssGSEA	EMT	Pathway	ssGSEA
Endothelial_EPIC-mRNA	Endothelial.cell	Stromal cells	EPIC-mRNA
Endothelial.CellMarker_ssGSEA	Endothelial.cell	Stromal cells	ssGSEA
Endothelial.cells_MCP	Endothelial.cell	Stromal cells	MCP
Endothelial.cells_xCell	Endothelial.cell	Stromal cells	xCell
Endothelial.Literature_ssGSEA	Endothelial.cell	Stromal cells	ssGSEA
ly.Endothelial.cells_xCell	Endothelial.cell.ly	Stromal cells	xCell
mv.Endothelial.cells_xCell	Endothelial.cell.mv	Stromal cells	xCell
Eosinophil.Innate_ssGSEA	Eosinophils	Leukocyte	ssGSEA
Eosinophils_Cibersort	Eosinophils	Leukocyte	Cibersort
Eosinophils_CIBERSORTx	Eosinophils	Leukocyte	CIBERSORTx
Eosinophils_SGL	Eosinophils	Leukocyte	SGL
Eosinophils_xCell	Eosinophils	Leukocyte	xCell
Eosinophils.Sanders_ssGSEA	Eosinophils	Leukocyte	ssGSEA
Epithelial.cells_xCell	Epithelial.cell	Epithelial cells	xCell
Epithelial.Literature_ssGSEA	Epithelial.cell	Epithelial cells	ssGSEA
Erythrocytes_xCell	Erythrocytes	Red blood cells	xCell
CAF.pro.tumorigenesis_ssGSEA	Fibroblasts.CAF	Stromal cells	ssGSEA
CAF.TIDE_ssGSEA	Fibroblasts.CAF	Stromal cells	ssGSEA
CAF.Tumo.suppresive_ssGSEA	Fibroblasts.CAF.TS	Stromal cells	ssGSEA
CAFs_EPIC-mRNA	Fibroblasts.CAF	Stromal cells	EPIC-mRNA
Fibroblast.CellMarker_ssGSEA	Fibroblasts	Stromal cells	ssGSEA
Fibroblasts_MCP	Fibroblasts	Stromal cells	MCP
Fibroblasts_xCell	Fibroblasts	Stromal cells	xCell
Fibroblasts.Literature_ssGSEA	Fibroblasts	Stromal cells	ssGSEA
GMP_xCell	GMP	Progenitor cells	xCell
Hepatocytes_xCell	Hepatocyte	Hepatocyte cells	xCell
HSC_xCell	HSC	Stem cells	xCell
Hypoxia...negative.cancerSEA_ssGSEA	Hypoxia.neg	Pathway	ssGSEA
Hypoxia...positive.cancerSEA_ssGSEA	Hypoxia.pos	Pathway	ssGSEA
Hypoxia.HALLMARK_ssGSEA	Hypoxia	Pathway	ssGSEA
