Genes	Celltypes	Source
RPS5	Angiogenesis | negative	cancerSEA
NPM1	Angiogenesis | negative	cancerSEA
SLC25A5	Angiogenesis | negative	cancerSEA
HSP90AA1	Angiogenesis | negative	cancerSEA
EIF3I	Angiogenesis | negative	cancerSEA
RPLP0	Angiogenesis | negative	cancerSEA
RPL3	Angiogenesis | negative	cancerSEA
RPS16	Angiogenesis | negative	cancerSEA
RPS19	Angiogenesis | negative	cancerSEA
RPS10	Angiogenesis | negative	cancerSEA
RPS11	Angiogenesis | negative	cancerSEA
ILF2	Angiogenesis | negative	cancerSEA
RPS3	Angiogenesis | negative	cancerSEA
RPSA	Angiogenesis | negative	cancerSEA
RPS7	Angiogenesis | negative	cancerSEA
RPS4X	Angiogenesis | negative	cancerSEA
RPL10A	Angiogenesis | negative	cancerSEA
RACK1	Angiogenesis | negative	cancerSEA
RPS18	Angiogenesis | negative	cancerSEA
RPL36A	Angiogenesis | negative	cancerSEA
EEF1G	Angiogenesis | negative	cancerSEA
RPL18	Angiogenesis | negative	cancerSEA
NUCKS1	Angiogenesis | negative	cancerSEA
FTL	Angiogenesis | negative	cancerSEA
FBL	Angiogenesis | negative	cancerSEA
LSM5	Angiogenesis | negative	cancerSEA
RPS13	Angiogenesis | negative	cancerSEA
RPS15	Angiogenesis | negative	cancerSEA
CACYBP	Angiogenesis | negative	cancerSEA
RPL21	Angiogenesis | negative	cancerSEA
RPL5	Angiogenesis | negative	cancerSEA
SNRPC	Angiogenesis | negative	cancerSEA
SNRPB	Angiogenesis | negative	cancerSEA
EIF2S3	Angiogenesis | negative	cancerSEA
PPT1	Angiogenesis | negative	cancerSEA
RPS15A	Angiogenesis | negative	cancerSEA
RPS6	Angiogenesis | negative	cancerSEA
RPL13A	Angiogenesis | negative	cancerSEA
RPL11	Angiogenesis | negative	cancerSEA
RPS8	Angiogenesis | negative	cancerSEA
RPL32	Angiogenesis | negative	cancerSEA
RPS3A	Angiogenesis | negative	cancerSEA
RPL7A	Angiogenesis | negative	cancerSEA
CCT5	Angiogenesis | negative	cancerSEA
ATP5F1A	Angiogenesis | negative	cancerSEA
RPL29	Angiogenesis | negative	cancerSEA
RPS14	Angiogenesis | negative	cancerSEA
CNBP	Angiogenesis | negative	cancerSEA
PA2G4	Angiogenesis | negative	cancerSEA
RPL4	Angiogenesis | negative	cancerSEA
RPL15	Angiogenesis | negative	cancerSEA
UBE2N	Angiogenesis | negative	cancerSEA
SNRPE	Angiogenesis | negative	cancerSEA
RPL14	Angiogenesis | negative	cancerSEA
MRPL42	Angiogenesis | negative	cancerSEA
RPL23A	Angiogenesis | negative	cancerSEA
